tipo,carta,numero,body,id
Célula Epitelial,morfologia ,1,Esse tipo de célula é geralmente achatado com o núcleo no centro.,epi_mor_1
Célula Epitelial,localização,2,"Esse tipo de célula forma tecidos que se organizam em camadas, revestindo interna e externamente todo organismo.",epi_loc_2
Célula Epitelial,função,3,Esse tipo de célula desempenha função de proteção e isolamento do organismo em relação ao meio externo.,epi_fun_3
Célula Epitelial,curiosidades,4,O Cascão não toma banho há um tempão. Sabia que ele tem essas células mortas de montão!!!,epi_cur_4
Célula Epitelial,imagem,5,http://cellfunctioning.wikispaces.com/file/view/cheekcells.jpg/210933652/cheekcells.jpg,epi_img_5
Celula Adiposa,morfologia ,1,Esse tipo de célula apresenta uma forma esférica.,adi_mor_1
Celula Adiposa,localização,2,"Esse tipo de célula está presente no corpo todo, principalmente abaixo da pele “formando os pneuzinhos”.",adi_loc_2
Celula Adiposa,função,3,Esse tipo de célula armazena gordura como reserva para obter energia e proteção contra o frio.,adi_fun_3
Celula Adiposa,curiosidades,4,Para se livrarem desse tipo de células as pessoas fazem lipoaspiração.,adi_cur_4
Celula Adiposa,imagem,5,http://3.bp.blogspot.com/-vsuc_rkxfJE/T0EuaeBeeQI/AAAAAAAAALI/H0iMDA_71dQ/s1600/tecido%2Bconjuntivo%2Badiposo.jpg,adi_img_5
Célula Sanguínia,morfologia ,1,Esse tipo de célula apresenta uma forma discóide e é desprovida de núcleo.,san_mor_1
Célula Sanguínia,localização,2,Esse tipo de célula é encontrado apenas dentro dos vasos sangüíneos.,san_loc_2
Célula Sanguínia,função,3,O transporte de oxigênio (O2) e gás carbônico (CO2) no organismo é feito por esse tipo de célula.,san_fun_3
Célula Sanguínia,curiosidades,4,"Não é tímida, mas está sempre vermelha por causa da hemoglobina",san_cur_4
Célula Sanguínia,imagem,5,http://4.bp.blogspot.com/-vutCJwcOg0g/Tmk0fM5Wq1I/AAAAAAAAAJE/TWnJ-lLj4Dc/s1600/CELULAS+SANGUINEAS.jpg,san_img_5
Célula Óssea,morfologia ,1,"Esse tipo de célula está localizada nas
cavidades de uma estrutura rígida e tem um formato esférico com projeções.",oss_mor_1
Célula Óssea,localização,2,Esse tipo de célula é encontrado no tecido ósseo.,oss_loc_2
Célula Óssea,função,3,Esse tipo de célula é importante na manutenção da estrutura óssea que dá sustentação ao organismo,oss_fun_3
Célula Óssea,curiosidades,4,"Com a idade, os ossos se tornam porosos e frágeis. Esse fenômeno é conhecido como osteoporose.",oss_cur_4
Célula Óssea,imagem,5,http://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Compact_bone_-_ground_cross_section.jpg/270px-Compact_bone_-_ground_cross_section.jpg,oss_img_5
Célula Nervosa,morfologia ,1,Esse tipo de célula possui uma região central de onde partem ramificações: os dendritos e o axônio.,ner_mor_1
Célula Nervosa,localização,2,"Esse tipo de célula é encontrado em todo o organismo, em maior concentração nos órgãos protegidos pelo crânio e pelacoluna vertebral.",ner_loc_2
Célula Nervosa,função,3,"A função desse tipo de célula é transmitir, por meio de sinais químicos e elétricos, sensações de dor, calor, prazer, etc.",ner_fun_3
Célula Nervosa,curiosidades,4,As substâncias conhecidas como “drogas que dão barato” afetam a comunicação entre as células desse tipo.,ner_cur_4
Célula Nervosa,imagem,5,http://www.cdcc.usp.br/ciencia/artigos/art_33/EraUmaVez_clip_image001.jpg,ner_img_5
Célula Muscular Estriada Esquelética,morfologia ,1,"Esse tipo de célula, geralmente alongado, cilíndrico e fino; é a unidade formadora das fibras contráteis.",mee_mor_1
Célula Muscular Estriada Esquelética,localização,2,"Esse tipo de célula forma um tecido que, pelos tendões, fica preso aos ossos do corpo.",mee_loc_2
Célula Muscular Estriada Esquelética,função,3,"Esse tipo de célula forma um tecido que, por contração e relaxamento realiza os movimentos do corpo.",mee_fun_3
Célula Muscular Estriada Esquelética,curiosidades,4,"Aquele que se acha o tal, o saradão, valoriza muito esse tipo de célula.",mee_cur_4
Célula Muscular Estriada Esquelética,imagem,5,http://minerva.ufpel.edu.br/~mgrheing/cd_histologia/geral/L5_400x_estrias.jpg,mee_img_5
